,KK,MS,QG,IU,LQ,PZ
0,E Chigumbura,Shakib Al Hasan,Shoaib Malik,JP Duminy,KJ O'Brien,CH Gayle
1,Mohammad Hafeez,Sikandar Raza,Mahmudullah,MN Samuels,SC Williams,BA Stokes
2,RA Jadeja,NLTC Perera,AD Mathews,MM Ali,Mohammad Nabi,JO Holder
3,MR Marsh,KS Williamson,H Masakadza,CR Woakes,PR Stirling,SK Raina
4,AD Russell,GJ Maxwell,Samiullah Shinwari,V Kohli,Mashrafe Mortaza,JE Root
5,RG Sharma,AB de Villiers,CJ Chibhabha,Nasir Hossain,JDS Neesham,MS Dhoni
6,SL Malinga,Rahmat Shah,Gulbadin Naib,SPD Smith,AG Cremer,MJ Santner
7,SC Williams,DW Steyn,F du Plessis,AJ Finch,AT Rayudu,CL White
8,Azhar Ali,Dawlat Zadran,MJ Guptill,F Behardien,BRM Taylor,Fakhar Zaman
9,RAS Lakmal,Soumya Sarkar,LE Plunkett,A Balbirnie,Rubel Hossain,MA Starc
10,B Kumar,KAJ Roach,TL Chatara,AU Rashid,TG Southee,Rashid Khan
11,SE Marsh,Junaid Khan,TA Boult,M Morkel,TM Head,Imran Tahir
